indx,book_id,isbn13,authors,original_title,average_rating,ratings_count,image_url
652,3463,9.78045E+12,Nicholas Sparks,A Bend in the Road,4.02,116800,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
654,1067,9.78074E+12,David McCullough,1776,4.06,130293,https://images.gr-assets.com/books/1306787560m/1067.jpg
657,9742,9.78031E+12,Barack Obama,The Audacity of Hope: Thoughts on Reclaiming the American Dream,3.69,110873,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
671,4687,9.78079E+12,John Irving,The Cider House Rules,4.1,124876,https://images.gr-assets.com/books/1327962519m/4687.jpg
675,1430,9.78006E+12,"Paulo Coelho, Margaret Jull Costa",Onze minutos,3.69,102206,https://images.gr-assets.com/books/1358266987m/1430.jpg
676,4009,9.78032E+12,J.D. Salinger,Nine Stories,4.19,105138,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
686,2880,9.78159E+12,Tite Kubo,BLEACH―ブリーチ―　1,4.21,120004,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
687,9539,9.78081E+12,Robert Jordan,The Shadow Rising,4.21,122524,https://images.gr-assets.com/books/1470841890m/9539.jpg
691,2373,9.78045E+12,Jeffery Deaver,The Bone Collector,4.18,120541,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
695,5308,9.78014E+12,John Steinbeck,The Pearl of the World,3.41,133264,https://images.gr-assets.com/books/1437234939m/5308.jpg
703,9822,9.78069E+12,Robert C. O'Brien,Mrs. Frisby and the Rats of NIMH,4.13,135978,https://images.gr-assets.com/books/1351191064m/9822.jpg
708,6708,9.78158E+12,Eckhart Tolle,The Power of Now,4.1,104549,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
715,8694,9.78035E+12,Douglas Adams,"Life, the Universe and Everything",4.19,131562,https://images.gr-assets.com/books/1333577589m/8694.jpg
724,9532,9.78077E+12,Orson Scott Card,Ender's Shadow,4.3,115521,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
742,5211,9.7814E+12,Rohinton Mistry,A Fine Balance,4.34,99252,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
751,6596,9.78188E+12,Miguel Ruiz,"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book",4.12,97016,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
754,3980,9.78074E+12,E.L. Konigsburg,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,4.15,134537,https://images.gr-assets.com/books/1327784751m/3980.jpg
756,4271,9.78014E+12,Nick Hornby,About a Boy,3.79,101999,https://images.gr-assets.com/books/1382004144m/4271.jpg
759,7770,9.78001E+12,Dr. Seuss,"One Fish, Two Fish, Red Fish, Blue Fish",4.12,117582,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
767,5096,9.78034E+12,"Stephen King, Dave McKean",Wizard and Glass,4.24,105026,https://images.gr-assets.com/books/1327946510m/5096.jpg
770,5479,9.78006E+12,"Aldous Huxley, Christopher Hitchens",Brave New World/Brave New World Revisited,4.16,108124,https://images.gr-assets.com/books/1331315450m/5479.jpg
778,6294,9.78006E+12,Diana Wynne Jones,Howl's Moving Castle,4.3,123945,https://images.gr-assets.com/books/1407450489m/6294.jpg
785,1554,9.78158E+12,"Sophocles, J.E. Thomas",Οἰδίπους Τύραννος,3.67,119496,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
787,5659,9.78014E+12,"Kenneth Grahame, Gillian Avery",The Wind in the Willows,3.98,124612,https://images.gr-assets.com/books/1423183570m/5659.jpg
789,3087,9.78142E+12,E.M. Forster,A Room with a View,3.91,109994,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
793,5355,9.78039E+12,John Grisham,The Chamber,3.76,102715,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
798,8648,9.78031E+12,Orson Scott Card,Xenocide,3.77,104467,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
805,5472,9.78015E+12,"George Orwell, Christopher Hitchens",Animal Farm & 1984,4.26,116197,https://images.gr-assets.com/books/1327959366m/5472.jpg
806,5161,9.78014E+12,Jacquelyn Mitchard,The Deep End of the Ocean,3.84,102733,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
814,1625,9.78074E+12,William Shakespeare,"Twelfth Night; or, What You Will",3.97,119607,https://images.gr-assets.com/books/1416628008m/1625.jpg
816,902,9.78014E+12,Ellen Raskin,The Westing Game,4.03,117108,https://images.gr-assets.com/books/1356850909m/902.jpg
826,3867,9.78039E+12,Nicole Krauss,The History of Love,3.91,98379,https://images.gr-assets.com/books/1327911009m/3867.jpg
829,2199,9.78074E+12,"Doris Kearns Goodwin, Suzanne Toren",Team of Rivals: The Political Genius of Abraham Lincoln,4.3,102923,https://images.gr-assets.com/books/1347278868m/2199.jpg
851,870,9.78159E+12,"Hiromu Arakawa, Akira Watanabe",鋼の錬金術師 1,4.49,93990,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
853,7815,9.7814E+12,Joan Didion,The Year of Magical Thinking,3.86,94590,https://images.gr-assets.com/books/1327878638m/7815.jpg
859,4965,9.78014E+12,Geraldine Brooks,Year of Wonders: A Novel of the Plague,4,104283,https://images.gr-assets.com/books/1327936622m/4965.jpg
861,667,9.78045E+12,Ayn Rand,Anthem,3.62,95620,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
863,8073,9.78069E+12,"Judi Barrett, Ron Barrett",Cloudy with a Chance of Meatballs,4.15,104677,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
870,6427,9.78014E+12,Janet Evanovich,Two for the Dough,4.11,116171,https://images.gr-assets.com/books/1330926461m/6427.jpg
874,7603,9.78081E+12,Azar Nafisi,Reading Lolita in Tehran: A Memoir in Books,3.57,94696,https://images.gr-assets.com/books/1397751318m/7603.jpg
877,7354,9.78074E+12,Annie Proulx,The Shipping News,3.83,103151,https://images.gr-assets.com/books/1469036074m/7354.jpg
894,4978,9.78142E+12,"Stephen King, Bernie Wrightson",Wolves of the Calla,4.17,98182,https://images.gr-assets.com/books/1419360231m/4978.jpg
901,4136,9.78032E+12,David Sedaris,Holidays on Ice,3.95,82591,https://images.gr-assets.com/books/1328330843m/4136.jpg
910,9420,9.78039E+12,Sophie Kinsella,Shopaholic and Baby,3.77,98130,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
911,5091,9.78142E+12,Stephen King,The Dark Tower,4.27,93296,https://images.gr-assets.com/books/1372296329m/5091.jpg
913,9418,9.78044E+12,Sophie Kinsella,Shopaholic Abroad,3.75,93498,https://images.gr-assets.com/books/1266449959m/9418.jpg
914,5544,9.78039E+12,Richard Feynman,"Surely You're Joking, Mr. Feynman! Adventures of a Curious Character",4.29,91625,https://images.gr-assets.com/books/1348445281m/5544.jpg
916,3579,76783609419,L.M. Montgomery,The Complete Anne of Green Gables Boxed Set,4.42,92142,https://images.gr-assets.com/books/1267721500m/3579.jpg
917,7588,9.78014E+12,"James Joyce, Seamus Deane",A Portrait of the Artist as a Young Man,3.6,92569,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
921,5350,9.78039E+12,John Grisham,The Partner,3.89,86870,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
922,30,9.78035E+12,J.R.R. Tolkien,The Hobbit and The Lord of the Rings,4.59,90907,https://images.gr-assets.com/books/1346072396m/30.jpg
927,1911,9.78037E+12,Thomas L. Friedman,The World Is Flat: A Brief History of the Twenty-first Century,3.66,78271,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
951,6854,9.78031E+12,Janet Evanovich,Three to Get Deadly,4.14,113400,https://images.gr-assets.com/books/1311727539m/6854.jpg
960,3711,9.78038E+12,Zadie Smith,White Teeth,3.75,82474,https://images.gr-assets.com/books/1374739885m/3711.jpg
969,8698,9.78033E+12,Douglas Adams,"So Long, and Thanks for All the Fish",4.08,93774,https://images.gr-assets.com/books/1369563116m/8698.jpg
979,7214,9.78079E+12,Donald Miller,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,3.92,82090,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
985,4631,9.7801E+12,Ernest Hemingway,A Moveable Feast,4.04,69992,https://images.gr-assets.com/books/1427463201m/4631.jpg
991,5351,9.78039E+12,John Grisham,The Street Lawyer,3.81,80577,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
996,365,9.78067E+12,Douglas Adams,Dirk Gently's Holistic Detective Agency,3.97,89569,https://images.gr-assets.com/books/1404697381m/365.jpg
1007,5093,9.78142E+12,"Stephen King, Darrel Anderson",Song of Susannah,3.98,84957,https://images.gr-assets.com/books/1372296326m/5093.jpg
1011,5348,9.78044E+12,John Grisham,The Testament,3.83,80377,https://images.gr-assets.com/books/1403174228m/5348.jpg
1017,9419,9.78044E+12,Sophie Kinsella,Shopaholic Ties the Knot,3.77,88139,https://images.gr-assets.com/books/1371383294m/9419.jpg
1018,5890,9.78014E+12,"Wilkie Collins, Matthew Sweet",The Woman in White,3.98,93134,https://images.gr-assets.com/books/1295661017m/5890.jpg
1021,6422,9.78031E+12,Janet Evanovich,Four to Score,4.17,106871,https://images.gr-assets.com/books/1311983211m/6422.jpg
1027,5797,9.78014E+12,"William Makepeace Thackeray, John Carey",Vanity Fair: A Novel Without a Hero,3.76,91323,https://images.gr-assets.com/books/1344386439m/5797.jpg
1028,4982,9.78186E+12,Kurt Vonnegut Jr.,The Sirens of Titan,4.16,72493,https://images.gr-assets.com/books/1419363185m/4982.jpg
1032,1633,9.78014E+12,David    Allen,Getting Things Done: How To Achieve Stress-free Productivity,3.98,75665,https://images.gr-assets.com/books/1312474060m/1633.jpg
1048,706,9.78071E+12,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",America (The Book): A Citizen's Guide to Democracy Inaction,4.02,74511,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1057,106,9.78044E+12,Frank Herbert,Dune Messiah,3.86,82580,https://images.gr-assets.com/books/1392528394m/106.jpg
1068,8650,9.78075E+12,Michael Crichton,The Lost World,3.72,83389,https://images.gr-assets.com/books/1386864575m/8650.jpg
1093,816,9.78006E+12,Neal Stephenson,Cryptonomicon,4.25,72683,https://images.gr-assets.com/books/1327931476m/816.jpg
1096,5204,9.78045E+12,Joyce Carol Oates,We Were the Mulvaneys,3.7,77251,https://images.gr-assets.com/books/1309282868m/5204.jpg
1102,6858,9.78031E+12,Janet Evanovich,Hot Six,4.18,99329,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1105,1301,9.78039E+12,Michael   Lewis,Moneyball: The Art of Winning an Unfair Game,4.24,66406,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1111,2052,9.78039E+12,Raymond Chandler,The Big Sleep,4.04,84489,https://images.gr-assets.com/books/1371584712m/2052.jpg
1112,4799,9.78014E+12,John Steinbeck,Cannery Row,4.02,81598,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1118,6656,9.78068E+12,"Dante Alighieri, Allen Mandelbaum, Eugenio Montale",La Divina Commedia,4.06,74130,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1131,6423,9.78033E+12,Janet Evanovich,High Five,4.17,92737,https://images.gr-assets.com/books/1270849101m/6423.jpg
1156,1428,9.78006E+12,"Paulo Coelho, Alan R. Clarke",Na margem do rio Piedra eu sentei e chorei,3.57,62106,https://images.gr-assets.com/books/1466877798m/1428.jpg
1165,3273,9.78031E+12,Alan Brennert,Moloka'i,4.15,75307,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1173,771,9.78038E+12,Brian Greene,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",4.06,32626,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1175,6424,9.78031E+12,Janet Evanovich,Seven Up,4.15,94506,https://images.gr-assets.com/books/1311720512m/6424.jpg
1180,6425,9.78031E+12,"Janet Evanovich, Lorelei King",Hard Eight,4.17,93057,https://images.gr-assets.com/books/1479699438m/6425.jpg
1186,4952,9.78193E+12,Dave Eggers,What Is the What: The Autobiography of Valentino Achak Deng,4.16,59333,https://images.gr-assets.com/books/1328837457m/4952.jpg
1193,5354,9.78039E+12,John Grisham,The Brethren,3.71,69351,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1209,112,9.78044E+12,Frank Herbert,Children of Dune,3.9,74133,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1217,9557,9.7801E+12,"Haruki Murakami, Philip Gabriel",スプートニクの恋人 [Supūtoniku no Koibito],3.82,62229,https://images.gr-assets.com/books/1486764070m/9557.jpg
1219,8600,9.78159E+12,Lynne Truss,"Eats, Shoots and Leaves",3.86,79117,https://images.gr-assets.com/books/1473392595m/8600.jpg
1234,9014,9.78045E+12,"Richard Bachman, Stephen King",The Long Walk,4.11,71775,https://images.gr-assets.com/books/1309212400m/9014.jpg
1238,5413,9.78039E+12,"Stephen King, Jerry N. Uelsmann",Salem's Lot The Illustrated Edition,4.25,72797,https://images.gr-assets.com/books/1320478491m/5413.jpg
1245,9566,9.78184E+12,Tom Robbins,Still Life with Woodpecker,4.04,56802,https://images.gr-assets.com/books/1308749778m/9566.jpg
1247,1110,9.78039E+12,John Grisham,The Broker,3.77,65428,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1257,5191,9.78032E+12,Anita Shreve,The Pilot's Wife,3.5,71777,https://images.gr-assets.com/books/1435011220m/5191.jpg
1263,5171,9.78035E+12,Christina Schwarz,Drowning Ruth,3.73,67768,https://images.gr-assets.com/books/1390180160m/5171.jpg
1266,3586,9.78159E+12,"Arthur Conan Doyle, Kyle Freeman","Sherlock Holmes: The Complete Novels and Stories, Vol 2",4.46,66857,https://images.gr-assets.com/books/1347663158m/3586.jpg
1275,6295,9.78087E+12,"Allen Ginsberg, William Carlos Williams",Howl and Other Poems,4.14,71968,https://images.gr-assets.com/books/1327870926m/6295.jpg
1278,360,9.78035E+12,Douglas Adams,Mostly Harmless,3.96,72426,https://images.gr-assets.com/books/1320725132m/360.jpg
1294,7779,9.78068E+12,Dr. Seuss,Horton Hears a Who!,4.16,80883,https://images.gr-assets.com/books/1327924655m/7779.jpg
1327,5157,9.78039E+12,Anna Quindlen,Black and Blue,3.86,67753,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1328,5346,9.78039E+12,John Grisham,The Last Juror,3.85,63114,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1332,599,9.78074E+12,Chuck Klosterman,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",3.75,56548,https://images.gr-assets.com/books/1380742001m/599.jpg
1347,5356,9.78039E+12,John Grisham,The King of Torts,3.67,61835,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1354,3464,9.78045E+12,Nicholas Sparks,True Believer,3.8,62840,https://images.gr-assets.com/books/1385739017m/3464.jpg
1369,7996,9.78186E+12,Brian Jacques,Redwall,4.11,73918,https://images.gr-assets.com/books/1327877368m/7996.jpg
1374,9417,9.78044E+12,Sophie Kinsella,Shopaholic and Sister,3.64,69007,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1379,5084,9.7814E+12,"Julia Child, Alex Prud'Homme",My Life in France,4.16,63100,https://images.gr-assets.com/books/1395564378m/5084.jpg
1387,28,9.78038E+12,Bill Bryson,Notes from a Small Island,3.91,66947,https://images.gr-assets.com/books/1479653223m/28.jpg
1392,7714,9.78049E+12,George Bernard Shaw,Pygmalion,3.9,70079,https://images.gr-assets.com/books/1453757285m/7714.jpg
1396,3388,9.78068E+12,Louis de Bernières,Captain Corelli's Mandolin,3.95,57583,https://images.gr-assets.com/books/1479680795m/3388.jpg
1398,24,9.78077E+12,Bill Bryson,Down Under,4.05,58688,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1424,1848,9.78074E+12,Jung Chang,Wild Swans: Three Daughters of China,4.23,60193,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1438,8682,9.78184E+12,Tom Robbins,Jitterbug Perfume,4.24,48277,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1441,1427,9.78006E+12,"Paulo Coelho, Margaret Jull Costa",O Zahir,3.56,50921,https://images.gr-assets.com/books/1493044059m/1427.jpg
1454,827,9.78055E+12,Neal Stephenson,The Diamond Age,4.19,61836,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1456,7728,9.78158E+12,"Sophocles, J.E. Thomas",Ἀντιγόνη,3.6,67608,https://images.gr-assets.com/books/1486701308m/7728.jpg
1478,6192,9.78014E+12,J.M. Coetzee,Disgrace,3.83,50422,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1481,6976,9.78014E+12,Sue Monk Kidd,The Mermaid Chair,3.1,62760,https://images.gr-assets.com/books/1388259308m/6976.jpg
1497,7675,9.7801E+12,Michael Crichton,Disclosure,3.76,57818,https://images.gr-assets.com/books/1398678136m/7675.jpg
1499,5246,9.78014E+12,Edith Wharton,Ethan Frome,3.35,72421,https://images.gr-assets.com/books/1389822254m/5246.jpg
1500,5205,9.78039E+12,"Jane Hamilton, Frank  Muller, C.J. Critt",A Map of the World,3.78,61347,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1503,7442,9.78055E+12,Tom Wolfe,The Electric Kool-Aid Acid Test,3.92,54848,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1504,7437,9.7808E+12,"William S. Burroughs, James Grauerholz, Barry  Miles",The Naked Lunch,3.46,55473,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1506,5360,9.78039E+12,John Grisham,A Painted House,3.67,59974,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1525,7667,9.7801E+12,Michael Crichton,Airframe,3.66,59229,https://images.gr-assets.com/books/1405420599m/7667.jpg
1529,122,9.78035E+12,Bryce Courtenay,The Power of One,4.34,57312,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1537,6440,9.78014E+12,Walter Scott,Ivanhoe,3.75,65828,https://images.gr-assets.com/books/1405336818m/6440.jpg
1557,3507,9.78031E+12,Janet Evanovich,Twelve Sharp,4.14,74747,https://images.gr-assets.com/books/1316727699m/3507.jpg
1576,9534,9.78081E+12,Orson Scott Card,Shadow of the Hegemon,3.93,58991,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1579,5196,9.78044E+12,Maeve Binchy,Tara Road,3.88,60154,https://images.gr-assets.com/books/1403194637m/5196.jpg
1587,6759,9.78032E+12,David Foster Wallace,Infinite Jest,4.31,46742,https://images.gr-assets.com/books/1446876799m/6759.jpg
1592,6693,9.78038E+12,"Roald Dahl, Quentin Blake",Fantastic Mr Fox,4.03,66015,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1605,5187,9.78039E+12,Jane Hamilton,The Book of Ruth,3.82,56842,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1606,9593,9.78039E+12,Kurt Vonnegut Jr.,Galápagos,3.87,48330,https://images.gr-assets.com/books/1355012643m/9593.jpg
1607,7661,9.78006E+12,Michael Crichton,Next,3.48,53487,https://images.gr-assets.com/books/1358010468m/7661.jpg
1612,1171,9.78014E+12,Michael   Lewis,Liar's Poker: Rising Through the Wreckage on Wall Street,4.16,22315,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1626,9010,9.78081E+12,Tucker Max,I Hope They Serve Beer in Hell,3.51,46092,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1629,9592,9.78039E+12,Kurt Vonnegut Jr.,Mother Night,4.21,52249,https://images.gr-assets.com/books/1344621657m/9592.jpg
1638,9300,9.7801E+12,Marian Keyes,Watermelon,3.79,55841,https://images.gr-assets.com/books/1345767584m/9300.jpg
1642,5454,9.78039E+12,Ann Brashares,The Second Summer of the Sisterhood,3.78,67357,https://images.gr-assets.com/books/1467700995m/5454.jpg
1649,357,9.78067E+12,Douglas Adams,The Long Dark Tea-Time of the Soul,4.05,59276,https://images.gr-assets.com/books/1388257271m/357.jpg
1655,5352,9.78039E+12,John Grisham,The Summons,3.68,53304,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1661,2666,9.78055E+12,Tom Wolfe,The Bonfire of the Vanities,3.81,52062,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1670,4866,9.78067E+12,Dale Carnegie,How to Stop Worrying and Start Living,4.08,46797,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1678,6259,9.78068E+12,Sebastian Faulks,Birdsong,4.07,49930,https://images.gr-assets.com/books/1349952101m/6259.jpg
1682,5176,9.78035E+12,Sue Miller,While I Was Gone,3.67,52244,https://images.gr-assets.com/books/1495632082m/5176.jpg
1703,264,9.78014E+12,"Henry James, Patricia Crick",The Portrait of a Lady,3.76,55019,https://images.gr-assets.com/books/1502148606m/264.jpg
1709,4325,9.78014E+12,Sarah Dessen,Dreamland,3.91,64082,https://images.gr-assets.com/books/1385861832m/4325.jpg
1717,2794,9.78006E+12,Thomas Pynchon,The Crying of Lot 49,3.7,48692,https://images.gr-assets.com/books/1375727632m/2794.jpg
1726,5174,9.78074E+12,Ann-Marie MacDonald,Fall on Your Knees,3.95,50446,https://images.gr-assets.com/books/1481449709m/5174.jpg
1731,6420,9.78031E+12,Janet Evanovich,Visions of Sugar Plums,3.68,62726,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1735,5509,9.78067E+12,"Miep Gies, Alison Leslie Gold",Anne Frank Remembered,4.26,50412,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1754,4008,9.78006E+12,"Paulo Coelho, Amanda Hopkinson, Nick Caistor",O Demônio e a Srta. Prym,3.59,42286,https://images.gr-assets.com/books/1359082264m/4008.jpg
1762,9844,9.78081E+12,Curtis Sittenfeld,Prep,3.36,50598,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1772,760,9.78031E+12,"Gabriel García Márquez, Edith Grossman",Memoria de mis putas tristes,3.59,33534,https://images.gr-assets.com/books/1327484658m/760.jpg
1824,9915,9.78068E+12,Bret Easton Ellis,Less Than Zero,3.58,45978,https://images.gr-assets.com/books/1443060100m/9915.jpg
1829,9301,9.78006E+12,Marian Keyes,Rachel's Holiday,3.93,48663,https://images.gr-assets.com/books/1407709261m/9301.jpg
1838,4143,9.78032E+12,David Sedaris,Barrel Fever: Stories and Essays,3.78,44679,https://images.gr-assets.com/books/1453273003m/4143.jpg
1843,3679,9.78014E+12,Zadie Smith,On Beauty,3.68,44317,https://images.gr-assets.com/books/1495961870m/3679.jpg
1851,4659,9.78035E+12,John Irving,A Widow for One Year,3.74,45051,https://images.gr-assets.com/books/1375776653m/4659.jpg
1853,6687,9.78014E+12,"Roald Dahl, Quentin Blake","Charlie and the Great Glass Elevator: The Further Adventures of Charlie Bucket and Willy Wonka, Chocolate-Maker Extraordinaire",3.64,62359,https://images.gr-assets.com/books/1309211607m/6687.jpg
1863,3102,9.78049E+12,E.M. Forster,Howards End,3.95,52006,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1870,8253,9.78006E+12,"Laura Ingalls Wilder, Garth Williams",Little Town on the Prairie,4.18,63615,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1881,475,9.78014E+12,Jared Diamond,Collapse: How Societies Chose to Fail or Succeed,3.92,44238,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1887,25,9.78077E+12,Bill Bryson,Notes from a Big Country,3.89,44610,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1895,5345,9.78039E+12,John Grisham,The Innocent Man,3.79,43793,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1908,249,9.7808E+12,Henry Miller,Tropic of Cancer,3.71,45518,https://images.gr-assets.com/books/1408753140m/249.jpg
1913,5306,9.78014E+12,John Steinbeck,Travels with Charley: In Search of America,4.07,45856,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1921,5015,9.7814E+12,Ian McEwan,Saturday,3.61,45567,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1933,7572,9.78184E+12,Tom Robbins,Even Cowgirls Get the Blues,3.74,40840,https://images.gr-assets.com/books/1336172455m/7572.jpg
1934,6138,9.78038E+12,"Wilkie Collins, Carolyn G. Heilbrun",The Moonstone,3.9,50322,https://images.gr-assets.com/books/1403192382m/6138.jpg
1939,6531,9.78075E+12,Patricia Cornwell,Point of Origin,4.02,48683,https://images.gr-assets.com/books/1399629118m/6531.jpg
1959,5527,9.78016E+12,Robert Penn Warren,All the King’s Men,4.08,42821,https://images.gr-assets.com/books/1342193852m/5527.jpg
1960,5452,9.78055E+12,Ann Brashares,Girls in Pants: The Third Summer of the Sisterhood,3.82,56485,https://images.gr-assets.com/books/1320473346m/5452.jpg
1980,6539,9.78043E+12,Patricia Cornwell,The Body Farm,4.04,51115,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1993,5190,9.78035E+12,Elizabeth Berg,Open House,3.68,48639,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
